        1       23      22      1          
        22      44      43      1          
        43      65      64      1          
        64      86      85      1          
        85      107     106     1          
        106     128     127     1          
        127     149     148     1          
        148     170     169     1          
        169     191     190     1          
        190     212     211     1          
        211     233     232     1          
        232     254     253     1          
        253     275     274     1          
        274     296     295     1          
        295     317     316     1          
        316     338     337     1          
        337     359     358     1          
        358     380     379     1          
        379     401     400     1          
        400     422     421     1          
        1       2       23      1          
        22      23      44      1          
        43      44      65      1          
        64      65      86      1          
        85      86      107     1          
        106     107     128     1          
        127     128     149     1          
        148     149     170     1          
        169     170     191     1          
        190     191     212     1          
        211     212     233     1          
        232     233     254     1          
        253     254     275     1          
        274     275     296     1          
        295     296     317     1          
        316     317     338     1          
        337     338     359     1          
        358     359     380     1          
        379     380     401     1          
        400     401     422     1          
        2       24      23      1          
        23      45      44      1          
        44      66      65      1          
        65      87      86      1          
        86      108     107     1          
        107     129     128     1          
        128     150     149     1          
        149     171     170     1          
        170     192     191     1          
        191     213     212     1          
        212     234     233     1          
        233     255     254     1          
        254     276     275     1          
        275     297     296     1          
        296     318     317     1          
        317     339     338     1          
        338     360     359     1          
        359     381     380     1          
        380     402     401     1          
        401     423     422     1          
        2       3       24      1          
        23      24      45      1          
        44      45      66      1          
        65      66      87      1          
        86      87      108     1          
        107     108     129     1          
        128     129     150     1          
        149     150     171     1          
        170     171     192     1          
        191     192     213     1          
        212     213     234     1          
        233     234     255     1          
        254     255     276     1          
        275     276     297     1          
        296     297     318     1          
        317     318     339     1          
        338     339     360     1          
        359     360     381     1          
        380     381     402     1          
        401     402     423     1          
        3       25      24      1          
        24      46      45      1          
        45      67      66      1          
        66      88      87      1          
        87      109     108     1          
        108     130     129     1          
        129     151     150     1          
        150     172     171     1          
        171     193     192     1          
        192     214     213     1          
        213     235     234     1          
        234     256     255     1          
        255     277     276     1          
        276     298     297     1          
        297     319     318     1          
        318     340     339     1          
        339     361     360     1          
        360     382     381     1          
        381     403     402     1          
        402     424     423     1          
        3       4       25      1          
        24      25      46      1          
        45      46      67      1          
        66      67      88      1          
        87      88      109     1          
        108     109     130     1          
        129     130     151     1          
        150     151     172     1          
        171     172     193     1          
        192     193     214     1          
        213     214     235     1          
        234     235     256     1          
        255     256     277     1          
        276     277     298     1          
        297     298     319     1          
        318     319     340     1          
        339     340     361     1          
        360     361     382     1          
        381     382     403     1          
        402     403     424     1          
        4       26      25      1          
        25      47      46      1          
        46      68      67      1          
        67      89      88      1          
        88      110     109     1          
        109     131     130     1          
        130     152     151     1          
        151     173     172     1          
        172     194     193     1          
        193     215     214     1          
        214     236     235     1          
        235     257     256     1          
        256     278     277     1          
        277     299     298     1          
        298     320     319     1          
        319     341     340     1          
        340     362     361     1          
        361     383     382     1          
        382     404     403     1          
        403     425     424     1          
        4       5       26      1          
        25      26      47      1          
        46      47      68      1          
        67      68      89      1          
        88      89      110     1          
        109     110     131     1          
        130     131     152     1          
        151     152     173     1          
        172     173     194     1          
        193     194     215     1          
        214     215     236     1          
        235     236     257     1          
        256     257     278     1          
        277     278     299     1          
        298     299     320     1          
        319     320     341     1          
        340     341     362     1          
        361     362     383     1          
        382     383     404     1          
        403     404     425     1          
        5       27      26      1          
        26      48      47      1          
        47      69      68      1          
        68      90      89      1          
        89      111     110     1          
        110     132     131     1          
        131     153     152     1          
        152     174     173     1          
        173     195     194     1          
        194     216     215     1          
        215     237     236     1          
        236     258     257     1          
        257     279     278     1          
        278     300     299     1          
        299     321     320     1          
        320     342     341     1          
        341     363     362     1          
        362     384     383     1          
        383     405     404     1          
        404     426     425     1          
        5       6       27      1           
        26      27      48      1          
        47      48      69      1          
        68      69      90      1          
        89      90      111     1          
        110     111     132     1          
        131     132     153     1          
        152     153     174     1          
        173     174     195     1          
        194     195     216     1          
        215     216     237     1          
        236     237     258     1          
        257     258     279     1          
        278     279     300     1          
        299     300     321     1          
        320     321     342     1          
        341     342     363     1          
        362     363     384     1          
        383     384     405     1          
        404     405     426     1          
        6       28      27      1          
        27      49      48      1          
        48      70      69      1          
        69      91      90      1          
        90      112     111     1          
        111     133     132     1          
        132     154     153     1          
        153     175     174     1          
        174     196     195     1          
        195     217     216     1          
        216     238     237     1          
        237     259     258     1          
        258     280     279     1          
        279     301     300     1          
        300     322     321     1          
        321     343     342     1          
        342     364     363     1          
        363     385     384     1          
        384     406     405     1          
        405     427     426     1          
        6       7       28      1          
        27      28      49      1          
        48      49      70      1          
        69      70      91      1          
        90      91      112     1          
        111     112     133     1          
        132     133     154     1          
        153     154     175     1          
        174     175     196     1          
        195     196     217     1          
        216     217     238     1          
        237     238     259     1          
        258     259     280     1          
        279     280     301     1          
        300     301     322     1          
        321     322     343     1          
        342     343     364     1          
        363     364     385     1          
        384     385     406     1          
        405     406     427     1          
        7       29      28      1          
        28      50      49      1          
        49      71      70      1          
        70      92      91      1          
        91      113     112     1          
        112     134     133     1          
        133     155     154     1          
        154     176     175     1          
        175     197     196     1          
        196     218     217     1          
        217     239     238     1          
        238     260     259     1          
        259     281     280     1          
        280     302     301     1          
        301     323     322     1          
        322     344     343     1          
        343     365     364     1          
        364     386     385     1          
        385     407     406     1          
        406     428     427     1          
        7       8       29      1          
        28      29      50      1          
        49      50      71      1          
        70      71      92      1          
        91      92      113     1          
        112     113     134     1          
        133     134     155     1          
        154     155     176     1          
        175     176     197     1          
        196     197     218     1          
        217     218     239     1          
        238     239     260     1          
        259     260     281     1          
        280     281     302     1          
        301     302     323     1          
        322     323     344     1          
        343     344     365     1          
        364     365     386     1          
        385     386     407     1          
        406     407     428     1          
        8       30      29      1          
        29      51      50      1          
        50      72      71      1          
        71      93      92      1          
        92      114     113     1          
        113     135     134     1          
        134     156     155     1          
        155     177     176     1          
        176     198     197     1          
        197     219     218     1          
        218     240     239     1          
        239     261     260     1          
        260     282     281     1          
        281     303     302     1          
        302     324     323     1          
        323     345     344     1          
        344     366     365     1          
        365     387     386     1          
        386     408     407     1          
        407     429     428     1          
        8       9       30      1          
        29      30      51      1          
        50      51      72      1          
        71      72      93      1          
        92      93      114     1          
        113     114     135     1          
        134     135     156     1          
